Indicateur,1Y,3M,3Y,6M,YTD
max dropdown,-0.18425410206232115,-0.15452315683162615,-0.18425410206232115,-0.15452315683162615,-0.15452315683162615
performance,-0.08037997807818786,0.06061381074168781,-0.07698209718670079,0.05230179028132986,0.056320789185239306
rendement espéré,-0.08412591830815108,0.05986242463364169,-0.08042202884188515,0.05140126793467297,0.055339835958427376
vol,0.3021446469552309,0.24943007410946122,0.3024368846056746,0.32846970647649437,0.34429173373868865
